2026-07-12 21:04:13.740075,10.0.0.2,1,128,ACK
2026-07-12 21:04:13.940549,10.0.0.2,2,128,ACK
2026-07-12 21:04:14.141171,10.0.0.2,3,128,ACK
2026-07-12 21:04:14.341878,10.0.0.2,4,128,ACK
2026-07-12 21:04:14.542374,10.0.0.2,5,128,ACK
2026-07-12 21:04:14.742896,10.0.0.2,6,128,ACK
2026-07-12 21:04:14.943547,10.0.0.2,7,128,ACK
2026-07-12 21:04:15.144185,10.0.0.2,8,128,ACK
2026-07-12 21:04:15.344966,10.0.0.2,9,128,ACK
2026-07-12 21:04:15.545387,10.0.0.2,10,128,ACK
2026-07-12 21:04:15.946554,10.0.0.2,1,512,ACK
2026-07-12 21:04:16.146982,10.0.0.2,2,512,ACK
2026-07-12 21:04:16.347344,10.0.0.2,3,512,ACK
2026-07-12 21:04:16.548187,10.0.0.2,4,512,ACK
2026-07-12 21:04:16.748795,10.0.0.2,5,512,ACK
2026-07-12 21:04:16.949144,10.0.0.2,6,512,ACK
2026-07-12 21:04:17.149528,10.0.0.2,7,512,ACK
2026-07-12 21:04:17.350916,10.0.0.2,8,512,ACK
2026-07-12 21:04:17.551351,10.0.0.2,9,512,ACK
2026-07-12 21:04:17.751754,10.0.0.2,10,512,ACK
2026-07-12 21:04:18.153018,10.0.0.2,1,1024,ACK
2026-07-12 21:04:18.353491,10.0.0.2,2,1024,ACK
2026-07-12 21:04:18.553963,10.0.0.2,3,1024,ACK
2026-07-12 21:04:18.754484,10.0.0.2,4,1024,ACK
2026-07-12 21:04:18.954979,10.0.0.2,5,1024,ACK
2026-07-12 21:04:19.155363,10.0.0.2,6,1024,ACK
2026-07-12 21:04:19.355859,10.0.0.2,7,1024,ACK
2026-07-12 21:04:19.556225,10.0.0.2,8,1024,ACK
2026-07-12 21:04:19.756634,10.0.0.2,9,1024,ACK
2026-07-12 21:04:19.957096,10.0.0.2,10,1024,ACK
2026-07-12 21:04:20.358015,10.0.0.2,1,128,ACK
2026-07-12 21:04:20.759015,10.0.0.2,2,128,ACK
2026-07-12 21:04:21.159892,10.0.0.2,3,128,ACK
2026-07-12 21:04:21.560804,10.0.0.2,4,128,ACK
2026-07-12 21:04:21.961731,10.0.0.2,5,128,ACK
2026-07-12 21:04:22.362705,10.0.0.2,6,128,ACK
2026-07-12 21:04:22.764124,10.0.0.2,7,128,ACK
2026-07-12 21:04:23.165297,10.0.0.2,8,128,ACK
2026-07-12 21:04:23.566336,10.0.0.2,9,128,ACK
2026-07-12 21:04:23.967377,10.0.0.2,10,128,ACK
2026-07-12 21:04:24.368201,10.0.0.2,1,512,ACK
2026-07-12 21:04:24.769143,10.0.0.2,2,512,ACK
2026-07-12 21:04:25.170089,10.0.0.2,3,512,ACK
2026-07-12 21:04:25.570851,10.0.0.2,4,512,ACK
2026-07-12 21:04:25.971956,10.0.0.2,5,512,ACK
2026-07-12 21:04:26.372627,10.0.0.2,6,512,ACK
2026-07-12 21:04:26.773665,10.0.0.2,7,512,ACK
2026-07-12 21:04:27.174419,10.0.0.2,8,512,ACK
2026-07-12 21:04:27.575145,10.0.0.2,9,512,ACK
2026-07-12 21:04:27.975801,10.0.0.2,10,512,ACK
2026-07-12 21:04:28.376465,10.0.0.2,1,1024,ACK
2026-07-12 21:04:28.777371,10.0.0.2,2,1024,ACK
2026-07-12 21:04:29.177902,10.0.0.2,3,1024,ACK
2026-07-12 21:04:29.578516,10.0.0.2,4,1024,ACK
2026-07-12 21:04:29.979488,10.0.0.2,5,1024,ACK
2026-07-12 21:04:30.380341,10.0.0.2,6,1024,ACK
2026-07-12 21:04:30.781055,10.0.0.2,7,1024,ACK
2026-07-12 21:04:31.181584,10.0.0.2,8,1024,ACK
2026-07-12 21:04:31.582156,10.0.0.2,9,1024,ACK
2026-07-12 21:04:31.982714,10.0.0.2,10,1024,ACK
